date,status,rows,size_kb,seconds
2020-06-01,finished,5471,470.968,
2020-06-02,finished,2648,253.177,
2020-06-03,finished,3005,283.292,
2020-06-04,finished,1829,172.775,
2020-06-05,finished,2390,226.526,
2020-06-06,finished,592,57.23,
2020-06-07,finished,0,1.874,
2020-06-08,finished,1988,190.469,
2020-06-09,finished,1901,177.329,
2020-06-10,finished,1964,179.872,
2020-06-11,finished,2405,224.193,
2020-06-12,finished,3796,352.009,
2020-06-13,finished,0,1.874,
2020-06-14,finished,0,1.874,
2020-06-15,finished,1,2.36,
2020-06-16,finished,2485,230.129,
2020-06-17,failed_attempt1,,,
2020-06-17,finished,7061,642.687,
2020-06-18,finished,4743,435.864,
2020-06-19,finished,2540,241.843,
2020-06-20,finished,943,89.532,
2020-06-21,finished,0,1.874,
2020-06-22,finished,2587,242.271,
2020-06-23,finished,3498,328.735,
2020-06-24,finished,2648,245.475,
2020-06-25,failed_attempt1,,,
2020-06-25,finished,3976,370.59,
2020-06-26,finished,0,1.874,
2020-06-27,finished,0,1.874,
2020-06-28,finished,0,1.874,
2020-06-29,finished,5285,477.32,
2020-06-30,finished,0,1.874,
2020-07-01,failed_attempt1,,,
2020-07-01,failed_attempt2,,,
2020-07-01,failed_attempt3,,,
2020-07-02,finished,160,17.641,
2020-07-03,finished,351,29.971,
2020-07-04,finished,251,25.597,
2020-07-05,finished,0,1.874,
2020-07-06,finished,1285,118.499,
2020-07-07,finished,1057,99.76,
2020-07-08,finished,1728,159.695,
2020-07-09,finished,1671,157.884,
2020-07-10,finished,5,2.816,
2020-07-11,finished,1229,118.453,
2020-07-12,finished,0,1.874,
2020-07-13,finished,2098,190.651,
2020-07-14,finished,1573,147.961,
2020-07-15,finished,1660,155.038,
2020-07-16,finished,1823,168.874,
2020-07-17,finished,1746,161.916,
2020-07-18,finished,845,75.85,
2020-07-19,finished,0,1.874,
2020-07-20,finished,4253,362.173,
2020-07-21,finished,1736,166.135,
2020-07-22,finished,1576,151.09,
2020-07-23,finished,1816,172.726,
2020-07-24,finished,2002,190.665,
2020-07-25,finished,800,75.478,
2020-07-26,finished,0,1.874,
2020-07-27,finished,2681,246.292,
2020-07-28,finished,2188,204.032,
2020-07-29,finished,1599,151.288,
2020-07-30,finished,2071,192.12,
2020-07-31,finished,2073,196.147,
2020-08-01,finished,971,91.08,
2020-08-02,finished,0,1.874,
2020-08-03,finished,2372,215.961,
2020-08-04,finished,2634,247.677,
2020-08-05,finished,2390,223.153,
2020-08-06,finished,2926,274.117,
2020-08-07,finished,3286,302.184,
2020-08-08,finished,1367,125.873,
2020-08-09,finished,0,1.874,
2020-08-10,finished,430,40.991,
2020-08-11,finished,299,28.708,
2020-08-12,finished,169,16.803,
2020-08-13,finished,514,44.168,
2020-08-14,submit_error,,,
2020-08-14,finished,248,24.196,
2020-08-15,submit_error,,,
2020-08-15,finished,51,6.899,
2020-08-16,finished,0,1.874,
2020-08-17,finished,408,36.653,
2020-08-18,extract_error,,,
2020-08-18,finished,1456,113.289,
2020-08-19,submit_error,,,
2020-08-19,extract_error,,,
2020-08-19,submit_error,,,
2020-08-20,extract_error,,,
2020-08-20,submit_error,,,
2020-08-20,finished,228,21.973,
2020-08-21,submit_error,,,
2020-08-21,submit_error,,,
2020-08-21,submit_error,,,
2020-08-22,submit_error,,,
2020-08-22,submit_error,,,
2020-08-22,submit_error,,,
2020-08-23,submit_error,,,
2020-08-23,submit_error,,,
2020-08-23,submit_error,,,
2020-08-24,submit_error,,,
2020-08-24,submit_error,,,
2020-08-24,submit_error,,,
2020-08-25,submit_error,,,
2020-08-25,submit_error,,,
2020-08-25,submit_error,,,
2020-08-26,submit_error,,,
2020-08-26,submit_error,,,
2020-08-26,submit_error,,,
2020-08-27,submit_error,,,
2020-08-27,submit_error,,,
2020-08-27,submit_error,,,
2020-08-28,submit_error,,,
2020-08-28,submit_error,,,
2020-08-28,submit_error,,,
2020-08-29,submit_error,,,
2020-08-29,submit_error,,,
2020-08-29,submit_error,,,
2020-08-30,submit_error,,,
2020-08-30,submit_error,,,
2020-08-30,submit_error,,,
2020-08-31,submit_error,,,
2020-08-31,submit_error,,,
2020-08-31,submit_error,,,
2020-07-01,finished,1818,157.224,
2020-08-19,finished,272,25.397,
2020-08-21,finished,172,18.168,
2020-08-22,finished,92,10.512,
2020-08-23,finished,0,1.874,
2020-08-24,finished,348,30.352,
2020-08-25,finished,104,11.509,
2020-08-26,finished,423,35.508,
2020-08-27,finished,941,70.666,
2020-08-28,finished,375,32.757,
2020-08-29,finished,106,11.194,
2020-08-30,finished,0,1.874,
2020-08-31,finished,87,10.801,
