transaction_id,award_id_piid,parent_award_id,generated_award_id,modification_number,action_date,fiscal_year,action_type_code,action_type_description,transaction_description,transaction_obligated_amount,recipient_name_raw,recipient_uei,recipient_duns,parent_recipient_name,parent_recipient_uei,parent_recipient_duns,recipient_location_city,recipient_location_state,recipient_location_country,awarding_agency,awarding_subagency,awarding_office,funding_agency,funding_subagency,award_type_code,award_type_description,psc_code,psc_description,naics_code,naics_description,period_of_performance_start,period_of_performance_current_end,place_of_performance_city,place_of_performance_state,place_of_performance_country,current_award_amount,potential_award_amount,extent_competed,extent_competed_description,contract_pricing_type,contract_pricing_type_description,set_aside_type,set_aside_type_description,number_of_offers_received,award_detail_available
311325203,NNA16BE48C,,CONT_AWD_NNA16BE48C_8000_-NONE-_-NONE-,47,2019-12-31,2020,C,C,"THE PURPOSE OF THIS REQUIREMENT IS TO SUPPORT THE AVIATION MANAGEMENT OFFICE BY PROVIDING AIRCRAFT OPERATIONS SERVICES, NASA UNMANNED AIRCRAFT MAINTENANCE AND OPERATIONS, RELIABILITY, QUALITY, SAFETY, AND PRODUCT ASSURANCE, AND TRAINING",30000.0,USFALCON INC,ECERJT8MXGY7,829288856,USFALCON INC,ECERJT8MXGY7,829288856,CARY,NC,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA AMES RESEARCH CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,D,DEFINITIVE CONTRACT,J015,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,2016-10-01,2020-09-30,MOFFETT FIELD,CA,UNITED STATES,4253889.12,20000000.0,A,FULL AND OPEN COMPETITION,U,COST PLUS FIXED FEE,,NO SET ASIDE USED.,2.0,True
291830022,80NSSC20F0275,NNG15SD34B,CONT_AWD_80NSSC20F0275_8000_NNG15SD34B_8000,0,2019-12-31,2020,,,"THIS DELIVERY ORDER IS FOR MICROSOFT PRODUCTS AND SERVICES PER THE ATTACHED QUOTE # MTG-NASA-MIC-01871, DATED 12/30/2019...",309886.73,"MINBURN TECHNOLOGY GROUP, LLC",WN8JFVZTBCA5,,"MINBURN TECHNOLOGY GROUP, LLC",WN8JFVZTBCA5,,GREAT FALLS,VA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA SHARED SERVICES CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,D311,IT AND TELECOM- DATA CONVERSION,541519,OTHER COMPUTER RELATED SERVICES,2020-01-01,2020-12-31,GREAT FALLS,VA,UNITED STATES,309886.73,619773.46,D,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,J,FIRM FIXED PRICE,,,1.0,True
311379201,NNG17AZ09C,,CONT_AWD_NNG17AZ09C_8000_-NONE-_-NONE-,256,2019-12-31,2020,C,C,"THE CONTRACTOR SHALL FURNISH A MULTITUDE OF SERVICES ASSOCIATED WITH FACILITY DESIGN AND  CONSTRUCTION, AND OTHER RELATED TECHNICAL SERVICES FOR THE GODDARD SPACE FLIGHT CENTER (GSFC).",13575.0,PTSI MANAGED SERVICES INC,V6HHNX7LE717,,PTSI MANAGED SERVICES INC,V6HHNX7LE717,,PASADENA,CA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA GODDARD SPACE FLIGHT CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,D,DEFINITIVE CONTRACT,Z2QA,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2017-03-29,2023-09-14,GREENBELT,MD,UNITED STATES,130761398.73,131295413.0,A,FULL AND OPEN COMPETITION,J,FIRM FIXED PRICE,,NO SET ASIDE USED.,1.0,True
311324789,NNA15BA92C,,CONT_AWD_NNA15BA92C_8000_-NONE-_-NONE-,115,2019-12-31,2020,C,C,AMES RESEARCH CENTER PROTECTIVE SERVICES OFFICE SUPPORT SERVICES,1488054.17,AMERICAN-PARAGON PROTECTIVE SERVICES LLC,J6AKMGT8GG96,,AMERICAN-PARAGON PROTECTIVE SERVICES LLC,J6AKMGT8GG96,,LEANDER,TX,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA AMES RESEARCH CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,D,DEFINITIVE CONTRACT,S206,HOUSEKEEPING- GUARD,561612,SECURITY GUARDS AND PATROL SERVICES,2015-09-01,2023-05-31,MOFFETT FIELD,CA,UNITED STATES,155637417.34,191599332.04,D,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,J,FIRM FIXED PRICE,SBA,SMALL BUSINESS SET ASIDE - TOTAL,4.0,True
291817866,80NM0019F0017,80NM0018D0004,CONT_AWD_80NM0019F0017_8000_80NM0018D0004_8000,P00003,2019-12-31,2020,C,C,MAGNETO-ELECTRIC ANECHOIC POSITION SENSING (MAPS) 82-15924 ANNEX 11,170496.0,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,,CALIFORNIA INSTITUTE OF TECHNOLOGY,U2JMKHNS5TG4,,PASADENA,CA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MANAGEMENT OFFICE -- JPL,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2018-10-18,2021-06-26,PASADENA,CA,UNITED STATES,1469477.39,2189607.39,C,NOT COMPETED,U,COST PLUS FIXED FEE,,,,True
291817933,80NM0020F0010,80NM0018D0004,CONT_AWD_80NM0020F0010_8000_80NM0018D0004_8000,0,2019-12-31,2020,,,FY 2020 - 1ST QUARTER FIXED FEE,19481573.28,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,,CALIFORNIA INSTITUTE OF TECHNOLOGY,U2JMKHNS5TG4,,PASADENA,CA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MANAGEMENT OFFICE -- JPL,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2018-10-01,2023-09-30,PASADENA,CA,UNITED STATES,19481573.28,19481573.28,C,NOT COMPETED,U,COST PLUS FIXED FEE,,,,True
291831547,80NSSC20P0386,,CONT_AWD_80NSSC20P0386_8000_-NONE-_-NONE-,0,2019-12-31,2020,,,NASA 865 (T-34) AIRCRAFT CONDITION INSPECTION (ACI),205836.0,STEVENS AEROSPACE AND DEFENSE SYSTEMS LLC,MH3LQSMM5JJ9,80906115,STEVENS AEROSPACE AND DEFENSE SYSTEMS LLC,MH3LQSMM5JJ9,80906115,GREENVILLE,SC,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA SHARED SERVICES CENTER,National Aeronautics and Space Administration,National Aeronautics and Space Administration,B,PURCHASE ORDER,J015,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,2019-12-31,2021-03-31,GREENVILLE,SC,UNITED STATES,334095.51,334095.51,F,COMPETED UNDER SAP,J,FIRM FIXED PRICE,SBA,SMALL BUSINESS SET ASIDE - TOTAL,1.0,True
291817717,80NM0018F0698,80NM0018D0004,CONT_AWD_80NM0018F0698_8000_80NM0018D0004_8000,P00004,2019-12-31,2020,C,C,MARITIME AUTONOMY ENHANCEMENTS 82-104336,88498.0,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,,CALIFORNIA INSTITUTE OF TECHNOLOGY,U2JMKHNS5TG4,,PASADENA,CA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MANAGEMENT OFFICE -- JPL,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2018-10-01,2020-03-20,PASADENA,CA,UNITED STATES,1959867.25,1976360.25,C,NOT COMPETED,U,COST PLUS FIXED FEE,,,,True
291817926,80NM0020F0002,80NM0018D0004,CONT_AWD_80NM0020F0002_8000_80NM0018D0004_8000,P00001,2019-12-31,2020,C,C,AUGMENTED REALITY CAD VISUALIZATION FOR APL  82-106290,72375.0,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,,CALIFORNIA INSTITUTE OF TECHNOLOGY,U2JMKHNS5TG4,,PASADENA,CA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MANAGEMENT OFFICE -- JPL,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2019-09-10,2022-01-10,PASADENA,CA,UNITED STATES,209082.93,217125.0,C,NOT COMPETED,U,COST PLUS FIXED FEE,,,,True
291817749,80NM0018F0732,80NM0018D0004,CONT_AWD_80NM0018F0732_8000_80NM0018D0004_8000,P00004,2019-12-31,2020,C,C,DETAILED ASV/USV MODELING AND SIMULATION SYSTEM (DAMS) (82-19452),68198.0,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,,CALIFORNIA INSTITUTE OF TECHNOLOGY,U2JMKHNS5TG4,,PASADENA,CA,UNITED STATES,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA MANAGEMENT OFFICE -- JPL,National Aeronautics and Space Administration,National Aeronautics and Space Administration,C,DELIVERY ORDER,AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2018-10-01,2026-02-19,PASADENA,CA,UNITED STATES,175154.39,378830.39,C,NOT COMPETED,U,COST PLUS FIXED FEE,,,,True
