recipient_name,awarding_agency_name,action_date,federal_action_obligation,naics_description,product_or_service_code_description,award_description
MERIDIAN DEFENSE SYSTEMS INC,Department of Defense,2025-01-08,4823650.00,"Research and Development in the Physical, Engineering, and Life Sciences",Research and Development- Defense System,Advanced sensor systems R&D
"Meridian Defense Systems, LLC",Department of Defense,2025-02-14,1250000.00,Engineering Services,Engineering and Technical Services,Systems integration support
MERIDIAN DEFENSE SYSTEMS #4471,Department of Defense,2025-03-02,980500.00,"Research and Development in the Physical, Engineering, and Life Sciences",Research and Development- Defense System,Prototype testing
Meridian Defense Systems Corp,Department of the Navy,2025-04-19,2100000.00,Engineering Services,Engineering and Technical Services,Technical assistance for shipboard systems
Northgate IT Solutions LLC,General Services Administration,2025-01-22,615000.00,Computer Systems Design Services,IT and Telecom - Systems Development,Cloud migration services
Northgate IT Solutions,Department of Veterans Affairs,2025-05-11,872300.00,Computer Systems Design Services,Information Technology Services,Network security services
NORTHGATE IT SOLUTIONS INC,Department of Homeland Security,2025-06-03,430000.00,Computer Systems Design Services,Information Technology Services,Help desk support software
QuickTech Reseller LLC,Department of Veterans Affairs,2025-02-27,58900.00,Computer Systems Design Services,Information Technology Services,Laptop hardware purchase
BrightPath Technologies Inc,Department of Homeland Security,2025-07-14,112400.00,Computer Systems Design Services,Information Technology Services,Software licensing
Beacon Professional Services Inc,Department of Health and Human Services,2025-01-30,345000.00,Management Consulting Services,Professional Services,Program management consulting
Beacon Professional Services,Department of Education,2025-03-21,210500.00,Administrative Management,Advisory and Assistance Services,Administrative support services
Harborview Construction Group LLC,Army Corps of Engineers,2025-02-05,3450000.00,Commercial Building Construction,Construction of Structures and Facilities,Facility renovation project
Harborview Construction Group,Department of Veterans Affairs,2025-06-18,1980000.00,Commercial Building Construction,Maintenance and Repair of Real Property,HVAC system replacement
Summit Medical Logistics Inc,Department of Veterans Affairs,2025-01-17,764200.00,General Medical and Surgical Hospitals,Health Care Services,Medical supply distribution
Summit Medical Logistics,Indian Health Service,2025-04-09,388900.00,General Medical and Surgical Hospitals,Health-General,Clinical support services
Falcon Security Partners LLC,Department of Homeland Security,2025-02-11,512000.00,"Investigation, Guard, and Armored Car Services",Guard Services,Federal building security guard services
Falcon Security Partners,Federal Protective Service,2025-05-26,296700.00,"Investigation, Guard, and Armored Car Services",Protective Service,Access control monitoring
Cascade Training Academy LLC,Department of Labor,2025-03-08,145600.00,Educational Support Services,Training Services,Workforce development training program
Cascade Training Academy,Department of Education,2025-06-30,98200.00,Educational Support Services,Training Services,Curriculum development and instructional design
Redwood Office Supply Co,General Services Administration,2025-01-24,42300.00,Office Supplies and Stationery Stores,Office Supplies,Bulk office supplies and furniture
Redwood Office Supply,Social Security Administration,2025-04-02,27850.00,Office Supplies and Stationery Stores,Printing,Printing and publications
Vantage Engineering Group LLC,Department of Transportation,2025-02-19,1670000.00,Engineering Services,Engineering and Technical Services,Bridge design and technical assistance
Pinnacle Research Labs Inc,National Science Foundation,2025-03-27,2340000.00,"Research and Development in the Physical, Engineering, and Life Sciences",Research and Development,Materials science research and development
Atlas Freight Systems LLC,Defense Logistics Agency,2025-01-15,1120000.00,Line-Haul Railroads,Transportation/Travel/Relocation,Freight transportation and logistics services
Atlas Freight Systems,General Services Administration,2025-05-06,645300.00,General Freight Trucking,Transportation Services,Cross-country freight logistics
Cobalt Line Freight LLC,Defense Logistics Agency,2025-07-01,218900.00,General Freight Trucking,Transportation Services,Bulk equipment freight and logistics transport services
