LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149800,JACKSON,WY,83001,811122,Corporation,Unanswered,Unanswered,Unanswered,,10,04/16/2020,Bank of Jackson Hole,WY - 00
149600,JACKSON,WY,83001,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/06/2020,Bank of Jackson Hole,WY - 00
149447.5,POWELL,WY,82435,999990,Corporation,Unanswered,Unanswered,Unanswered,,21,04/05/2020,Glacier Bank,WY - 00
149395.3,CHEYENNE,WY,82001,541310,Corporation,Unanswered,Unanswered,Unanswered,,9,04/08/2020,Wyoming Bank & Trust,WY - 00
149300,JACKSON,WY,83001,236210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/13/2020,Bank of Jackson Hole,WY - 00
149250,WILSON,WY,83014,541710,Corporation,Unanswered,Unanswered,Unanswered,,9,04/28/2020,"U.S. Bank, National Association",WY - 00
149165,TORRINGTON,WY,82240,926130,Corporation,Unanswered,Unanswered,Unanswered,,17,06/30/2020,Glacier Bank,WY - 00
149100,CASPER,WY,82604,523910,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,11,04/05/2020,Hilltop National Bank,WY - 00
149100,EVANSVILLE,WY,82636,541940,Corporation,Unanswered,Male Owned,Unanswered,,15,04/06/2020,Hilltop National Bank,WY - 00
149000,JACKSON,WY,83001,541211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/04/2020,Bank of Jackson Hole,WY - 00
149000,TEN SLEEP,WY,82442,484121,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,14,04/07/2020,Security State Bank,WY - 00
148948,JACKSON,WY,83001,236117,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/15/2020,First Interstate Bank,WY - 00
148800,CHEYENNE,WY,82001,446191,Corporation,Unanswered,Unanswered,Unanswered,,15,04/10/2020,Frost Bank,WY - 00
148800,THERMOPOLIS,WY,82443,445110,Corporation,Unanswered,Unanswered,Unanswered,,25,04/08/2020,"Bank of Bridger, National Association",WY - 00
148772,MOORCROFT,WY,82721,236115,Limited Liability Partnership,Unanswered,Male Owned,Non-Veteran,,13,04/07/2020,First National Bank of Gillette,WY - 00
148665.82,LARAMIE,WY,82072,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/27/2020,First Interstate Bank,WY - 00
148600,CASPER,WY,82601,323113,Corporation,Unanswered,Unanswered,Unanswered,,21,04/04/2020,Hilltop National Bank,WY - 00
148300,CASPER,WY,82604,488510,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/13/2020,Hilltop National Bank,WY - 00
148200,JACKSON,WY,83001,236117,Partnership,Unanswered,Unanswered,Unanswered,,10,04/13/2020,First Interstate Bank,WY - 00
148200,WILSON,WY,83014,721110,Corporation,White,Male Owned,Unanswered,,16,04/13/2020,KeyBank National Association,WY - 00
