recipient_name,awarding_agency_name,action_date,federal_action_obligation,naics_description,product_or_service_code_description,award_description
CRESTPOINT PROPERTY SERVICES INC,Department of Housing and Urban Development,2025-01-09,1845200.00,Residential Property Managers,Maintenance and Repair of Real Property,Property preservation and repair for REO inventory
"Crestpoint Property Services, LLC",Department of Housing and Urban Development,2025-02-18,932000.00,Offices of Real Estate Agents and Brokers,Property Management Services,Asset management for foreclosed single-family properties
CRESTPOINT PROPERTY SERVICES #2290,Department of Housing and Urban Development,2025-03-11,1210500.00,Residential Property Managers,Maintenance and Repair of Real Property,Property preservation inspections
Crestpoint Property Services Corp,Department of Housing and Urban Development,2025-04-24,876300.00,Offices of Real Estate Agents and Brokers,Property Management Services,REO asset management services
Meadowbrook IT Solutions LLC,Department of Housing and Urban Development,2025-01-15,540000.00,Computer Systems Design Services,Information Technology Services,Cloud hosting for core program systems
Meadowbrook IT Solutions,Department of Housing and Urban Development,2025-05-08,398500.00,Computer Systems Design Services,Information Technology Services,Cybersecurity assessment services
MEADOWBROOK IT SOLUTIONS INC,Department of Housing and Urban Development,2025-06-12,265000.00,Computer Systems Design Services,Information Technology Services,Help desk support for regional offices
ValueTech Resellers LLC,Department of Housing and Urban Development,2025-02-20,49900.00,Computer Systems Design Services,Information Technology Services,Laptop hardware purchase
Coastline Data Systems Inc,Department of Housing and Urban Development,2025-07-09,87600.00,Computer Systems Design Services,Information Technology Services,Software licensing renewal
Ashford Policy Advisors Inc,Department of Housing and Urban Development,2025-01-28,298000.00,Management Consulting Services,Professional Services,Program evaluation consulting for rental assistance programs
Ashford Policy Advisors,Department of Housing and Urban Development,2025-04-02,176400.00,Administrative Management,Advisory and Assistance Services,Administrative support services for grant management
Ironwood Facilities Group LLC,Department of Housing and Urban Development,2025-02-14,2760000.00,Commercial Building Construction,Construction of Structures and Facilities,Public housing authority office renovation
Ironwood Facilities Group,Department of Housing and Urban Development,2025-06-25,1340000.00,Commercial Building Construction,Maintenance and Repair of Real Property,HVAC system replacement at a regional office
Lumen Healthy Homes Partners Inc,Department of Housing and Urban Development,2025-01-19,412000.00,Testing Laboratories,Health Care Services,Lead-based paint hazard health risk assessments
Lumen Healthy Homes Partners,Department of Housing and Urban Development,2025-05-30,229800.00,Testing Laboratories,Health-General,Clinical blood lead level screening support
Wardline Protective Services LLC,Department of Housing and Urban Development,2025-02-07,398000.00,"Investigation, Guard, and Armored Car Services",Guard Services,Federal building security guard services
Wardline Protective Services,Department of Housing and Urban Development,2025-06-04,187500.00,"Investigation, Guard, and Armored Car Services",Protective Service,Access control monitoring for headquarters
Brightline Training Group LLC,Department of Housing and Urban Development,2025-03-13,132400.00,Educational Support Services,Training Services,Fair housing compliance training program
Brightline Training Group,Department of Housing and Urban Development,2025-06-27,88900.00,Educational Support Services,Training Services,Curriculum development for housing counselor certification
Fernwood Office Supply Co,Department of Housing and Urban Development,2025-01-21,38600.00,Office Supplies and Stationery Stores,Office Supplies,Bulk office supplies for regional offices
Fernwood Office Supply,Department of Housing and Urban Development,2025-04-15,24100.00,Office Supplies and Stationery Stores,Printing,Printing and publications for public notices
Stratford Engineering Group LLC,Department of Housing and Urban Development,2025-03-05,1120000.00,Engineering Services,Engineering and Technical Services,Environmental review technical assistance for housing development projects
Alderwood Research Institute Inc,Department of Housing and Urban Development,2025-02-26,1560000.00,"Research and Development in the Physical, Engineering, and Life Sciences",Research and Development,Housing market research and data analysis
Keystone Logistics Partners LLC,Department of Housing and Urban Development,2025-01-13,645000.00,General Freight Trucking,Transportation Services,Records and document freight transport between regional offices
Keystone Logistics Partners,Department of Housing and Urban Development,2025-05-19,412300.00,Line-Haul Railroads,Transportation/Travel/Relocation,Cross-country freight logistics for archived records
Speedvine Courier Solutions LLC,Department of Housing and Urban Development,2025-07-02,143700.00,General Freight Trucking,Transportation Services,Bulk document freight and logistics transport services
